title,abstract,true_label
Social Equity and Environmental Risk,"Social equity has become an important concern of the environmental movement over the past decade. The equity issue is analyzed here for practically all of the inactive hazardous waste disposal sites on the National Priorities List (NPL) regulated under the Comprehensive Response Compensation and Liability Act and its 1986 Superfund Amendments and Reauthorization Act (CERCLA/ SARA). Two dimensions of equity are emphasized, namely, site location relative to the location of minority populations and the distribution of cleanup plans or Records of Decision (ROD) across communities with NPL sites that have different socioeconomic characteristics. With respect to site location, the percentage of Blacks and Hispanics aggregated at the Census Place or MCD level in communities with NPL sites was greater than is typical nationwide (largely attributable to the concentration of minority populations in a few large urban areas with NPL sites). In contrast, the percentage of the population below the poverty line in communities with NPL sites largely matched that of the nation as a whole. With respect to site cleanup, communities with relatively higher percentages of racial minority populations have fewer cleanup plans (Records of Decision signed) than other communities with NPL sites. Whether a ROD exists is influenced by when the site was designated for the NPL: sites designated earlier (prior to the SARA amendments of 1986) are more likely to have RODs, and also less likely to have high proportions of racial minority populations than sites designated later. This implies that initially the designation process may have resulted in NPL sites being located disproportionately in minority areas, but this pattern seems to be reversing itself in more recently designated sites. As with any statistical analysis, these findings are findings of association and not causality. Thus, racial and ethnic disproportionalities with respect to inactive hazardous waste site location seem to be concentrated in a relatively few areas. Disproportionalities with respect to cleanup do exist, but appear to be more a function of the nature of the process of designation of NPL sites in the early 1980s rather than a result of actions connected with cleanup plans per se. Further investigations are needed at alternative geographic scales to discern the sensitivity of patterns of inequity to distance from the sites. Copyright © 1993, Wiley Blackwell. All rights reserved",Not About Sufficiency
Time to treat the climate and nature crisis as one indivisible global health emergency,"Damage to one subsystem can create feedback that damages another—for example, drought, wildfires, floods and the other effects of rising global temperatures destroy plant life and lead to soil erosion, and so inhibit carbon storage, which means more global warming.2 Climate change is set to overtake deforestation and other land-use change as the primary driver of nature loss.3 Nature has a remarkable power to restore.[...]deforested land can revert to forest through natural regeneration, and marine phytoplankton, which act as natural carbon stores, turn over one billion tonnes of photosynthesising biomass every 8 days.4 Indigenous land and sea management has a particularly important role to play in regeneration and continuing care.5 Restoring one subsystem can help another—for example, replenishing soil could help remove greenhouse gases from the atmosphere on a vast scale.6 But actions that may benefit one subsystem can harm another—for example, planting forests with one type of tree can remove carbon dioxide from the air but can damage the biodiversity that is fundamental to healthy ecosystems.7 The impacts on health Human health is damaged directly by both the climate crisis, as the journals have described in previous editorials,8 9 and by the nature crisis.10 This indivisible planetary crisis will have major effects on health as a result of the disruption of social and economic systems—shortages of land, shelter, food and water, exacerbating poverty, which in turn will lead to mass migration and conflict.Communities are healthier if they have access to high-quality green spaces that help filter air pollution, reduce air and ground temperatures, and provide opportunities for physical activity.20 Connection with nature reduces stress, loneliness and depression while promoting social interaction.21 These benefits are threatened by the continuing rise in urbanisation.22 Finally, the health impacts of climate change and biodiversity loss will be experienced unequally between and within countries, with the most vulnerable communities often bearing the highest burden.10 Linked to this, inequality is also arguably fuelling these environmental crises.[...]we call for the WHO to make this declaration before or at the 77th World Health Assembly in May 2024.",Not About Sufficiency
Time to treat the climate and nature crisis as one indivisible global health emergency,"Damage to one subsystem can create feedback that damages another—for example, drought, wildfires, floods and the other effects of rising global temperatures destroy plant life and lead to soil erosion, and so inhibit carbon storage, which means more global warming.2 Climate change is set to overtake deforestation and other land-use change as the primary driver of nature loss.3 Nature has a remarkable power to restore.[...]deforested land can revert to forest through natural regeneration, and marine phytoplankton, which act as natural carbon stores, turn over one billion tonnes of photosynthesising biomass every 8 days.4 Indigenous land and sea management has a particularly important role to play in regeneration and continuing care.5 Restoring one subsystem can help another—for example, replenishing soil could help remove greenhouse gases from the atmosphere on a vast scale.6 But actions that may benefit one subsystem can harm another—for example, planting forests with one type of tree can remove carbon dioxide from the air but can damage the biodiversity that is fundamental to healthy ecosystems.7 The impacts on health Human health is damaged directly by both the climate crisis, as the journals have described in previous editorials,8 9 and by the nature crisis.10 This indivisible planetary crisis will have major effects on health as a result of the disruption of social and economic systems—shortages of land, shelter, food and water, exacerbating poverty, which in turn will lead to mass migration and conflict.Communities are healthier if they have access to high-quality green spaces that help filter air pollution, reduce air and ground temperatures, and provide opportunities for physical activity.20 Connection with nature reduces stress, loneliness and depression while promoting social interaction.21 These benefits are threatened by the continuing rise in urbanisation.22 Finally, the health impacts of climate change and biodiversity loss will be experienced unequally between and within countries, with the most vulnerable communities often bearing the highest burden.10 Linked to this, inequality is also arguably fuelling these environmental crises.[...]we call for the WHO to make this declaration before or at the 77th World Health Assembly in May 2024.",Not About Sufficiency
Decarbonization will lead to more equitable air quality in California,"Air quality associated public health co-benefit may emerge from climate and energy policies aimed at reducing greenhouse gas (GHG) emissions. However, the distribution of these co-benefits has not been carefully studied, despite the opportunity to tailor mitigation efforts so they achieve maximum benefits within socially and economically disadvantaged communities (DACs). Here, we quantify such health co-benefits from different long-term, low-carbon scenarios in California and their distribution in the context of social vulnerability. The magnitude and distribution of health benefits, including within impacted communities, is found to varies among scenarios which reduce economy wide GHG emissions by 80% in 2050 depending on the technology- and fuel-switching decisions in individual end-use sectors. The building electrification focused decarbonization strategy achieves ~15% greater total health benefits than the truck electrification focused strategy which uses renewable fuels to meet building demands. Conversely, the enhanced electrification of the truck sector is shown to benefit DACs more effectively. Such tradeoffs highlight the importance of considering environmental justice implications in the development of climate mitigation planning.Air quality is found to be more equitable through two salient decarbonization pathways for California in 2050 with the relative justice of decarbonization scenarios quantified at the neighborhood level and the tradeoffs between pathways evaluated.",Not About Sufficiency
Assessment and Optimization of Ecological Networks in Trans-Provincial Metropolitan Areas—A Case Study of the Xuzhou Metropolitan Area,"In the urbanization development trend, constructing inter-provincial metropolitan areas has gradually become an important pathway for China to implement its new urbanization strategy. Economic development in metropolitan areas inevitably leads to ecological degradation and fragmentation, threatening biodiversity. A reasonable assessment and optimization of the ecological network structure of inter-provincial metropolitan areas can effectively improve the stability of regional ecosystems and contribute to the sustainable development of urban and rural environments. In this study, we optimized the identification of ecological sources at the metropolitan area scale by constructing the ‘MIE’ model combined with the threshold analysis method, identified the core ecological sources in the Xuzhou Metropolitan Area, a typical cross-provincial metropolitan area in China, and then extracted the ecological corridors by using the Linkage Mapper tool based on this method. The spatiotemporal patterns and components of the ecological network of the Xuzhou metropolitan area from 1990 to 2020 were assessed, and an optimization analysis was performed based on the current ecological network. The results show that urban expansion has caused a decentralized layout of the ecological space in the study area across the provincial metropolitan area, with an uneven distribution of ecological sources and the development of ecological corridors in an east-dense and west-sparse pattern in 30 years. Increased interference by human activities has decreased the landscape dominance of the regional ecological resources and overall fragmentation of the habitats. The number of ecological corridors decreased, the average length of ecological corridors increased, the difficulty of biological flow increased, the connectivity of the ecological network structure decreased, and accessibility between source areas decreased. The α, β, and γ indices of the regional ecological network increased by 0.16, 0.46, and 0.1, respectively, after restoring important ecological sources and corridors. This study provides a framework for ecological network assessment and optimization in cross-provincial metropolitan areas, which is of great significance for studying metropolitan areas at similar stages of development.",Not About Sufficiency
Examining the Effects of Land Use on Carbon Emissions: Evidence from Pearl River Delta,"Land-use change accounts for a large proportion of the carbon emissions produced each year, especially in highly developed urban agglomerations. In this study, we combined remote sensing data and socioeconomic data to estimate land-use-related carbon emissions, and applied the logarithmic mean Divisia index (LMDI) method to analyze its influencing factors, in the Pearl River Delta (PRD) of China in 1990-2015. The main conclusions are as follows: (1) The total amount of land-use-related carbon emissions increased from 684.84 × 104 t C in 1990 to 11,444.98 × 104 t C in 2015, resulting in a net increase of 10,760.14 × 104 t (16.71 times). (2) Land-use-related carbon emissions presented a ""higher in the middle and lower on both sides"" spatial distribution. Guangzhou had the highest levels of carbon emissions, and Zhaoqing had the lowest; Shenzhen experienced the greatest net increase, and Jiangmen experienced the least. (3) The land-use-related carbon emissions intensity increased from 4795.76 × 104 Yuan/t C to 12,143.05 × 104 Yuan/t C in 1990-2015, with the greatest increase seen in Huizhou and the lowest in Zhongshan. Differences were also found in the spatial distribution, with higher intensities located in the south, lower intensities in the east and west, and medium intensities in the central region. (4) Land-use change, energy structure, energy efficiency, economic development, and population all contributed to increases in land-use-related carbon emissions. Land-use change, economic development and population made positive contributions, while energy efficiency and energy structure made negative contributions. At last, we put forward several suggestions for promoting low-carbon development, including development of a low-carbon and circular economy, rationally planning land-use structure, promoting reasonable population growth, improving energy efficiency and the energy consumption structure, and advocating low-carbon lifestyles. Our findings are useful in the tasks related to assessing carbon emissions from the perspective of land-use change and analyzing the associated influencing factors, as well as providing a reference for realizing low-carbon and sustainable development in the PRD.Land-use change accounts for a large proportion of the carbon emissions produced each year, especially in highly developed urban agglomerations. In this study, we combined remote sensing data and socioeconomic data to estimate land-use-related carbon emissions, and applied the logarithmic mean Divisia index (LMDI) method to analyze its influencing factors, in the Pearl River Delta (PRD) of China in 1990-2015. The main conclusions are as follows: (1) The total amount of land-use-related carbon emissions increased from 684.84 × 104 t C in 1990 to 11,444.98 × 104 t C in 2015, resulting in a net increase of 10,760.14 × 104 t (16.71 times). (2) Land-use-related carbon emissions presented a ""higher in the middle and lower on both sides"" spatial distribution. Guangzhou had the highest levels of carbon emissions, and Zhaoqing had the lowest; Shenzhen experienced the greatest net increase, and Jiangmen experienced the least. (3) The land-use-related carbon emissions intensity increased from 4795.76 × 104 Yuan/t C to 12,143.05 × 104 Yuan/t C in 1990-2015, with the greatest increase seen in Huizhou and the lowest in Zhongshan. Differences were also found in the spatial distribution, with higher intensities located in the south, lower intensities in the east and west, and medium intensities in the central region. (4) Land-use change, energy structure, energy efficiency, economic development, and population all contributed to increases in land-use-related carbon emissions. Land-use change, economic development and population made positive contributions, while energy efficiency and energy structure made negative contributions. At last, we put forward several suggestions for promoting low-carbon development, including development of a low-carbon and circular economy, rationally planning land-use structure, promoting reasonable population growth, improving energy efficiency and the energy consumption structure, and advocating low-carbon lifestyles. Our findings are useful in the tasks related to assessing carbon emissions from the perspective of land-use change and analyzing the associated influencing factors, as well as providing a reference for realizing low-carbon and sustainable development in the PRD.",Not About Sufficiency
Examining the Effects of Land Use on Carbon Emissions: Evidence from Pearl River Delta,"Land-use change accounts for a large proportion of the carbon emissions produced each year, especially in highly developed urban agglomerations. In this study, we combined remote sensing data and socioeconomic data to estimate land-use-related carbon emissions, and applied the logarithmic mean Divisia index (LMDI) method to analyze its influencing factors, in the Pearl River Delta (PRD) of China in 1990–2015. The main conclusions are as follows: (1) The total amount of land-use-related carbon emissions increased from 684.84 × 104 t C in 1990 to 11,444.98 × 104 t C in 2015, resulting in a net increase of 10,760.14 × 104 t (16.71 times). (2) Land-use-related carbon emissions presented a “higher in the middle and lower on both sides” spatial distribution. Guangzhou had the highest levels of carbon emissions, and Zhaoqing had the lowest; Shenzhen experienced the greatest net increase, and Jiangmen experienced the least. (3) The land-use-related carbon emissions intensity increased from 4795.76 × 104 Yuan/t C to 12,143.05 × 104 Yuan/t C in 1990–2015, with the greatest increase seen in Huizhou and the lowest in Zhongshan. Differences were also found in the spatial distribution, with higher intensities located in the south, lower intensities in the east and west, and medium intensities in the central region. (4) Land-use change, energy structure, energy efficiency, economic development, and population all contributed to increases in land-use-related carbon emissions. Land-use change, economic development and population made positive contributions, while energy efficiency and energy structure made negative contributions. At last, we put forward several suggestions for promoting low-carbon development, including development of a low-carbon and circular economy, rationally planning land-use structure, promoting reasonable population growth, improving energy efficiency and the energy consumption structure, and advocating low-carbon lifestyles. Our findings are useful in the tasks related to assessing carbon emissions from the perspective of land-use change and analyzing the associated influencing factors, as well as providing a reference for realizing low-carbon and sustainable development in the PRD.",Not About Sufficiency
"A Simulation-Based Prediction of Land Use Change Impacts on Carbon Storage from a Regional Imbalance Perspective: A Case Study of Hunan Province, China","Land use imbalances are a critical driving factor contributing to regional disparities in carbon storage (CS). As a significant component of China’s Yangtze River Economic Belt, Hunan Province has undergone substantial shifts in land use types, resulting in an uneven distribution of ecosystem CS and sequestration capacity. Therefore, within the framework of the “dual carbon” strategy, examining the effects of land use changes driven by regional resource imbalances on CS holds practical importance for advancing regional sustainable development. This study focuses on Hunan Province, utilizing the PLUS-InVEST model to assess the spatiotemporal evolution of CS under land use changes from 1990 to 2020. Additionally, multiple scenario-based development modes were employed to predict county-level CS. The results indicate the following: (1) From 1990 to 2020, Hunan Province experienced continuous urban expansion, with forest land and cultivated land, which are core ecological land types, being converted into construction land. (2) Over these 30 years, the province’s total CS increased by 2.47 × 108 t, with significant spatial differentiation. High-value zones were concentrated in bands along the province’s borders, while lower values were observed in the central and northern regions. The highest CS values were recorded in forested areas at the province’s periphery, whereas the lowest values were observed in the northern water bodies. (3) The scenario-based predictions revealed notable differences, with the ecological protection scenario demonstrating a substantial carbon sink effect. By prioritizing forest and cultivated land, CS could be maximized. This research provides valuable insights for enhancing CS and optimizing land use structures in regions facing resource imbalances.",Not About Sufficiency
"Exploring Sustainable Development and the SDGs 3, 4, and 8 Using the Carbon Intensity of Human Well-Being and Longitudinal Multilevel Modeling","Multilevel modeling statistics for longitudinal examination to explore the connections, relatedness, and interdependency of SDG3 “Good Health and Well-being”, SDG4 “Quality Education”, and economic growth SDGs 8 “Decent Work and Economic Growth” at a country level over the period 2000–2020. This is a novel approach that incorporates “nested” or “hierarchically nested” observations. Health and well-being, as measured in this study by the carbon intensity of human well-being (CIWB), was positively linked to economic growth and is a production function of sustainability. Results indicate that countries investing in the promotion of health and well-being outcomes will increase their economic growth over the long term. In contrast to previous studies, the relationship between education and economic growth was insignificant with the caveat of the indicators chosen. Using the advanced statistical methods adopted here could offer policymakers new insights and tools to focus their efforts to accelerate the progress of sustainable development and achieve the SDG targets by 2030.",Not About Sufficiency
Integrating Circular Economy and Laudato Si’: A Christian Framework for Sustainable Development and Environmental Stewardship,"The circular economy and Laudato Si’ share a common vision for addressing environmental, ecological, and social challenges through sustainability, justice, and paradigm change. The circular economy moves beyond the linear “take-make-dispose” model by promoting resource efficiency, waste elimination, and the regeneration of natural systems. Similarly, Laudato Si’ calls for integral ecology, recognizing the interconnectedness of environmental, social, economic, and cultural systems. Both emphasize practical actions, such as transitioning to renewable energy, promoting responsible waste management, and adopting regenerative agricultural practices to restore our ecosystems. Ethical consumption, simplicity, and moderation are central to both frameworks, encouraging shifts toward reuse, repair, and shared resources as common platforms to reduce overconsumption. Social justice remains a priority, with a focus on supporting marginalized populations unequally affected by ecological crises. Education and international cooperation are essential to achieving these goals, fostering ecological awareness, and coordinating policies to drive systemic change. The circular economy and Laudato Si’ provide a transformative pathway to restore harmony between humanity, nature, and society by promoting balance, equity, and sustainability.",Not About Sufficiency
