policy,actor,population,factor,correlation,related_studied_policy_area,related_studied_sector,correlation_numeric,cluster_id,policy_canonical
severe infestations of root-knot nematodes,None,None,energy from their hosts,decreasing,energy,cohesion,-1.0,0,severe infestations of root-knot nematodes
severe infestations of root-knot nematodes,None,None,yield quantity and quality,decreasing,agriculture,cohesion,-1.0,0,severe infestations of root-knot nematodes
property/structure buyout and habitat restoration project,None,None,flood losses,decreasing,climate_action,energy,-1.0,1,property/structure buyout and habitat restoration project
property/structure buyout and habitat restoration project,None,None,natural resource conservation,increasing,biodiversity,energy,1.0,1,property/structure buyout and habitat restoration project
property/structure buyout and habitat restoration project,None,None,flood exposure,decreasing,climate_action,energy,-1.0,1,property/structure buyout and habitat restoration project
property/structure buyout and habitat restoration project,None,None,efficient use of limited governmental funds,increasing,finance_and_capital_markets,energy,1.0,1,property/structure buyout and habitat restoration project
flood mitigation grant programs,None,None,funds for conservation and restoration of habitats,increasing,biodiversity,innovation_and_research,1.0,2,flood mitigation grant programs
strengthening the capacity of rights-holders to demand their rights,None,None,development assistance effectiveness,increasing,reforms,Unknown,1.0,3,strengthening the capacity of rights-holders to demand their rights
strengthening the capacity of duty-bearers to meet their obligations,None,None,development assistance effectiveness,increasing,reforms,innovation_and_research,1.0,4,strengthening the capacity of duty-bearers to meet their obligations
limit on state coal-severance taxes,None,None,coal consumption,increasing,economy,agriculture,1.0,5,limit on state coal-severance taxes
limit on state coal-severance taxes,None,None,state's coal production costs,decreasing,economy,agriculture,-1.0,5,limit on state coal-severance taxes
Federal funds,None,None,environmental and socio-economic impacts,decreasing,economy,home_affairs,-1.0,6,Federal funds
exploitation of coal-rich states,None,None,profits,increasing,economy,social_rights,1.0,7,exploitation of coal-rich states
exploitation of coal-rich states,None,None,true costs borne by state governments,increasing,finance_and_capital_markets,social_rights,1.0,7,exploitation of coal-rich states
control strategies,None,None,lighting energy demand,decreasing,energy,equality,-1.0,8,control strategies
building features,None,None,lighting energy consumption,neutral,energy,reforms,0.0,9,building features
adaptation strategies,None,None,vulnerability of agriculture and rural poor to impacts of climate change,decreasing,climate_action,education_and_youth,-1.0,10,adaptation strategies
adaptation strategies,None,None,resilience of the agro-ecosystems,increasing,biodiversity,education_and_youth,1.0,10,adaptation strategies
new public policies,None,None,"adaptation research, insurances, incentives to farmers to adapt new technologies",increasing,innovation_and_research,culture,1.0,11,new public policies
FANTASTIC lifestyle assessment instrument,None,None,clinician's confidence,increasing,health,justice,1.0,12,FANTASTIC lifestyle assessment instrument
microcomputer version of FANTASTIC questionnaire,None,None,reliability and validity,increasing,innovation_and_research,finance_and_capital_markets,1.0,13,microcomputer version of FANTASTIC questionnaire
recycling the papers,None,None,climate change,decreasing,climate_action,food,-1.0,14,recycling the papers
recycling the papers,None,None,greenhouse gases,decreasing,climate_action,food,-1.0,14,recycling the papers
recycling the papers,None,None,forest preservation,increasing,biodiversity,food,1.0,14,recycling the papers
recycling the papers,None,None,water and air pollution,decreasing,climate_action,food,-1.0,14,recycling the papers
recycling the papers,None,None,waste management,improving,agriculture,food,0.0,14,recycling the papers
recycling the papers,None,None,energy problems,decreasing,energy,food,-1.0,14,recycling the papers
minimum paper fibre targets using property cascade analysis (PCA),None,None,fresh fibre use,decreasing,energy,social_rights,-1.0,15,minimum paper fibre targets using property cascade analysis (PCA)
ex situ conservation,None,None,Bornean rhino population recovery,neutral,biodiversity,social_rights,0.0,16,ex situ conservation
in situ conservation,None,None,Bornean rhino population recovery,increasing,biodiversity,social_rights,1.0,16,ex situ conservation
human development issues,None,None,conservation planning process,increasing,biodiversity,climate_action,1.0,17,human development issues
development of livestock for small holders,None,None,poverty reduction,increasing,reforms,jobs,1.0,18,development of livestock for small holders
development of livestock for small holders,None,None,food safety,increasing,food,jobs,1.0,18,development of livestock for small holders
