Model,Scenario,Region,Sector,Variable_clean,Unit,2015,2040,2050
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,77.5662,12.6127,0.0106
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,China,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,676.4475,155.15529999999998,24.0684
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,553.6432,156.6263,29.1033
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,India,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,194.9417,85.2457,18.4985
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Japan,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,105.7944,16.1085,3.0656
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,133.1766,53.92659999999999,42.0669
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,204.5975,171.8004,43.3456
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,71.82039999999999,24.525399999999998,4.5895
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Other Asia,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,199.1249,131.3777,49.472500000000004
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Russia and Former Soviet Union,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,263.4895,106.2953,17.419900000000002
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,Sub-Saharan Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,123.0697,82.6113,31.9075
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,United States,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,459.57489999999996,92.7294,17.6771
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,77.5662,4.5192,0.012499999999999999
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,China,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,676.4475,105.41290000000001,15.6788
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,553.6432,100.339,12.8705
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,India,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,194.9417,62.657399999999996,22.106600000000004
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Japan,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,105.7944,11.536,1.1677
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,133.1766,42.1694,23.827
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,204.5975,172.8544,52.8591
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,71.82039999999999,18.5956,3.1931
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Other Asia,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,199.1249,113.4282,40.1728
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Russia and Former Soviet Union,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,263.4895,66.6616,6.6587
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,Sub-Saharan Africa,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,123.0697,59.558499999999995,27.949800000000003
REMIND-MAgPIE 3.2-4.6,SDP_MC-1p5C-CCimp,United States,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,459.57489999999996,67.2625,1.8425
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,77.5662,3.9317,0.0115
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,China,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,676.4475,128.3354,30.448900000000002
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,Europe,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,553.6432,108.05590000000001,18.559499999999996
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,India,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,194.9417,78.5146,36.1479
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,Japan,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,105.7944,12.2672,0.9983
REMIND-MAgPIE 3.2-4.6,SDP_RC-1p5C-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Emissions,Mt CO2e/yr,133.1766,49.620999999999995,15.273200000000001
